theta_mean,theta_median,theta_std,theta_var,theta_fft,alpha_low_mean,alpha_low_median,alpha_low_std,alpha_low_var,alpha_low_fft,alpha_high_mean,alpha_high_median,alpha_high_std,alpha_high_var,alpha_high_fft,beta_mean,beta_median,beta_std,beta_var,beta_fft,gamma_mean,gamma_median,gamma_std,gamma_var,gamma_fft,state
1.497795344602769e-14,9.688322495012086e-15,1.167983073545987e-14,1.3641844600899306e-28,(1.1193956176127222e-14+0j),1.4950528514188116e-14,1.3258107484875052e-14,8.620148371882627e-15,7.43069579532707e-29,(1.499707239779868e-14+0j),1.3533083824755434e-14,1.17463484644508e-14,6.745482302271624e-15,4.5501531490259685e-29,(7.918076734124656e-15+0j),2.2125037538678898e-14,1.9481565954321465e-14,1.1268060645330038e-14,1.269691907068356e-28,(1.5610168146664585e-14+0j),7.866470268335095e-15,7.675519539636194e-15,3.2448887132655153e-15,1.0529302761477932e-29,(1.466323438072373e-14+0j),bored
2.1077504023593825e-14,1.6119880863464672e-14,1.5719315359796457e-14,2.4709687538073277e-28,(5.829180856961866e-14+0j),2.225960924680051e-14,1.499707239779868e-14,1.5852426732574353e-14,2.51299433311638e-28,(6.732183215079346e-14+0j),1.63717426784547e-14,1.5706978706534367e-14,8.17622407560003e-15,6.685064013442155e-29,(2.552129999525339e-14+0j),1.688860686056579e-14,1.364020753673189e-14,1.0285345327011078e-14,1.0578832849586862e-28,(3.9121954107178943e-14+0j),7.660188887929527e-15,7.40299485515925e-15,3.1196682825052968e-15,9.73233019286955e-30,(1.1084337006915305e-14+0j),bored
3.355788047374338e-14,2.824955431862205e-14,2.3201194710969765e-14,5.382954360163314e-28,(3.566534123775522e-14+0j),3.551725015167613e-14,2.98784248997362e-14,2.2840763767321584e-14,5.217004894745905e-28,(3.3900491067923574e-14+0j),2.216634974374025e-14,2.210794645428303e-14,7.481133629220089e-15,5.596736037824774e-29,(2.3957078569458608e-14+0j),2.862690491071823e-14,2.389489759016783e-14,1.1764908505404207e-14,1.3841307214053223e-28,(2.389489759016783e-14+0j),9.017197045635822e-15,9.443081945741228e-15,3.664872111424032e-15,1.3431287593093643e-29,(5.849139740771532e-15+0j),bored
1.2898441913466905e-14,9.914228177938182e-15,6.387057045769422e-15,4.0794497705912816e-29,(9.378954455133373e-15+0j),1.6078659767111945e-14,1.1200073732856096e-14,1.0641956099771712e-14,1.1325122962946833e-28,(1.2759915904522787e-14+0j),1.5424718909892175e-14,1.1851218510316185e-14,9.596906589998463e-15,9.210061609715593e-29,(3.503065710796419e-14+0j),2.370719980597269e-14,1.8195824301114813e-14,1.551822476428955e-14,2.408152998350094e-28,(3.9677290057355094e-14+0j),8.08885523749478e-15,6.972680626369463e-15,4.100171907612736e-15,1.6811409671976662e-29,(4.554002662882686e-15+0j),bored
2.6264816689219733e-14,2.6570758485944884e-14,1.922120959213313e-14,3.6945489818471064e-28,(7.104536377054143e-14+0j),1.9205631331671514e-14,1.7358821129374778e-14,1.3243759296961035e-14,1.7539716031584185e-28,(2.953735304700105e-14+0j),1.7696257696785895e-14,1.6796226199849807e-14,9.035676192792365e-15,8.164344426099472e-29,(1.500345390354677e-14+0j),2.1421215274547363e-14,2.0003628111428676e-14,7.606764979911984e-15,5.786287345961537e-29,(2.509792952887396e-14+0j),6.842610868985298e-15,6.799123227562787e-15,1.5892464467886705e-15,2.5257042686304145e-30,(6.472349122521661e-15+0j),bored
2.6455685649369767e-14,2.2527975615791283e-14,1.833220780077907e-14,3.3606984285094497e-28,(2.4291259701800594e-14+0j),2.6150146702804984e-14,1.805860007895088e-14,1.804063067105335e-14,3.254643550093508e-28,(1.481434776520476e-14+0j),2.5698406802268057e-14,1.6865309548589932e-14,2.1249300507092924e-14,4.515327720407396e-28,(1.292349946111117e-14+0j),2.951753028086425e-14,2.0676115297557452e-14,1.7092475067247002e-14,2.9215270392446044e-28,(2.0676115297557452e-14+0j),8.776135702096109e-15,8.641012008445159e-15,2.2516008838347408e-15,5.069706540085385e-30,(6.481226276893365e-15+0j),bored
1.528713184371944e-14,1.3169254936245435e-14,8.480637249491616e-15,7.192120815746472e-29,(1.5859434294245303e-14+0j),1.5344421266126956e-14,1.586849322359674e-14,7.869228228742364e-15,6.192475291603567e-29,(2.9140913169975735e-14+0j),1.3801978182054505e-14,1.3252837708037297e-14,6.75013652177328e-15,4.556434306257747e-29,(1.832316099582181e-14+0j),1.5026326047175437e-14,1.3821933231197125e-14,7.820987707976643e-15,6.116784872832174e-29,(1.8458442852329177e-14+0j),1.1288838946144904e-14,1.0480790427135764e-14,5.976955197428055e-15,3.5723993432062234e-29,(4.47254209071554e-15+0j),bored
3.2101237920437074e-14,2.5164608825698104e-14,1.982689891796972e-14,3.9310592070338886e-28,(4.730884576776555e-14+0j),2.3378425973389645e-14,1.8918269623861612e-14,1.449633442571441e-14,2.1014371178215275e-28,(2.854396774529324e-14+0j),1.5472953950088733e-14,1.092345911425152e-14,9.938370316320865e-15,9.877120454432768e-29,(1.3565795801308771e-14+0j),2.3599644056945076e-14,2.1368623515554945e-14,1.342247937594316e-14,1.8016295259761949e-28,(1.1744338137995327e-14+0j),1.1643205495110407e-14,1.2003667838792019e-14,3.63879909777072e-15,1.3240858873937005e-29,(3.387899397035244e-15+0j),bored
3.017769408694115e-14,3.054206681219387e-14,1.51870688664985e-14,2.306470607557681e-28,(4.6295945998460396e-14+0j),2.9106424511776556e-14,2.5625966145189705e-14,1.709959769665345e-14,2.9239624138739603e-28,(5.6811971322523287e-14+0j),2.0741979393057616e-14,1.489263992404584e-14,1.3682021191835498e-14,1.8719770389383566e-28,(5.464775891225934e-14+0j),2.345497067794893e-14,1.8238118102920525e-14,1.326770628034757e-14,1.7603202994157435e-28,(4.607258030730665e-14+0j),6.83889221908451e-15,6.045691375393195e-15,2.50535377296249e-15,6.276797527697384e-30,(1.1656604026319787e-14+0j),bored
5.712016814843999e-14,2.0550859708346677e-14,1.017349254312102e-13,1.0349995052493901e-26,(3.6601941031164154e-13+0j),2.8546434948616094e-14,1.9636930953404892e-14,2.2468569889890485e-14,5.048366328968933e-28,(4.734709548066934e-14+0j),2.5757688896551534e-14,2.2945238145978315e-14,1.7615356794173632e-14,3.1030079498603916e-28,(2.2945238145978315e-14+0j),2.964847529243188e-14,2.1805873949862054e-14,1.966080712937084e-14,3.8654733697831926e-28,(2.1805873949862054e-14+0j),1.1724085845170096e-14,1.1656604026319787e-14,4.687668007698534e-15,2.1974231350400347e-29,(1.1728874045969749e-14+0j),bored
