theta_mean,theta_median,theta_std,theta_var,theta_fft,alpha_low_mean,alpha_low_median,alpha_low_std,alpha_low_var,alpha_low_fft,alpha_high_mean,alpha_high_median,alpha_high_std,alpha_high_var,alpha_high_fft,beta_mean,beta_median,beta_std,beta_var,beta_fft,gamma_mean,gamma_median,gamma_std,gamma_var,gamma_fft,state
6.41239398247218e-14,7.639060309484265e-14,3.256004559051597e-14,1.0601565688564783e-27,(9.421873846602005e-14+0j),8.128020236258825e-14,8.262148370437819e-14,3.2282534974399407e-14,1.042162064373321e-27,(8.262148370437819e-14+0j),4.5321274833892153e-14,3.236784726664116e-14,3.238199696111792e-14,1.0485937271898503e-27,(3.236784726664116e-14+0j),2.613542444823334e-14,2.878485222928858e-14,8.874862621528416e-15,7.876318655100222e-29,(3.0333138830096405e-14+0j),1.0607864155651254e-14,8.361621468577277e-15,4.0073458053032136e-15,1.6058820403281258e-29,(1.6107235877413738e-14+0j),calm
4.1136490441706284e-14,3.518046333834275e-14,2.4708990854657428e-14,6.105342290555444e-28,(4.76086924808799e-14+0j),2.367656160120944e-14,1.5521212414058507e-14,2.0924750508722912e-14,4.378451838522998e-28,(1.3707327504939835e-14+0j),1.9828083920313752e-14,1.5457874734468598e-14,8.016426623518575e-15,6.426309581025742e-29,(1.3389617991141412e-14+0j),2.904175461882557e-14,3.0333138830096405e-14,6.0471325576569266e-15,3.65678121698744e-29,(1.9649457835290444e-14+0j),2.121787723764099e-14,2.107641102187349e-14,4.3581726004484705e-15,1.8993668415299783e-29,(2.3238131195925754e-14+0j),calm
5.211172725726163e-14,2.7258338049256764e-14,4.2062558013542545e-14,1.7692587866426324e-27,(2.7258338049256764e-14+0j),5.123124054805177e-14,4.851294309105201e-14,2.251726525109329e-14,5.070272343880933e-28,(6.052274819813479e-14+0j),5.597581333390551e-14,5.573968854847858e-14,6.316747962372353e-15,3.9901304820135273e-29,(6.883772412540693e-14+0j),2.476856950397276e-14,2.281564183091651e-14,5.007941789512358e-15,2.5079480967144237e-29,(2.882124150886624e-14+0j),3.300668575017144e-14,2.989694832376762e-14,4.014653754513299e-15,1.6117444768627725e-29,(3.818958146084447e-14+0j),calm
7.185412359946754e-14,5.064158611475093e-14,4.271449163636874e-14,1.8245277957534154e-27,(1.4549863699989627e-13+0j),5.558498958109835e-14,5.258032005280579e-14,7.087002420030007e-15,5.0225603301511174e-29,(6.766683535834205e-14+0j),4.913039825608431e-14,4.855338820744799e-14,8.326193094955646e-15,6.932549145448709e-29,(4.1983658764208086e-14+0j),1.8803532299239198e-14,1.665839325913715e-14,4.863889022792675e-15,2.3657416426043087e-29,(1.665839325913715e-14+0j),2.4454262028374723e-14,2.4756172942537126e-14,8.344954319987309e-15,6.963826260267486e-29,(3.450924859788424e-14+0j),calm
1.1557614525313005e-13,1.1711903879912573e-13,7.299846985535322e-15,5.328776601222914e-29,(1.1711903879912573e-13+0j),4.103793091257811e-14,4.791367335523205e-14,1.6134520384073154e-14,2.603227480240721e-28,(2.2134879381107843e-14+0j),3.2065294447082814e-14,2.405889984633075e-14,1.2171449943590309e-14,1.4814419372932453e-28,(2.45468480719418e-14+0j),2.1661095275667018e-14,1.8577969317496996e-14,9.752737134584817e-15,9.511588161630968e-29,(2.173092594543694e-14+0j),2.929623184719036e-14,3.026613479192817e-14,5.72016722584541e-15,3.272031309163598e-29,(3.332377128026438e-14+0j),calm
5.445837580110491e-14,5.189216043200186e-14,3.221828958284705e-14,1.0380181836441909e-27,(7.573593328877367e-14+0j),5.546038061007037e-14,2.5549368438190144e-14,5.499426366837751e-14,3.024369036427026e-27,(1.4995123176974295e-13+0j),4.7671814690300285e-14,2.45468480719418e-14,4.245137503683255e-14,1.8021192425178097e-27,(1.2538669835482232e-13+0j),3.957144231414167e-14,2.9708973419425355e-14,1.9162913202169512e-14,3.6721724239388263e-28,(6.39869379459906e-14+0j),2.5101381444333326e-14,2.3805382530403813e-14,5.0417907975695204e-15,2.54196544464567e-29,(2.3805382530403813e-14+0j),calm
5.417087509284293e-14,6.471724763594527e-14,2.900660998841117e-14,8.413834230197946e-28,(6.621265905583478e-14+0j),6.822385597178172e-14,5.724437880866409e-14,3.887057496410807e-14,1.5109215980403454e-27,(3.664904622507977e-14+0j),6.851162356842898e-14,5.5813937691664314e-14,2.921392822181294e-14,8.534536021492385e-28,(4.4364177396116285e-14+0j),4.160728380812998e-14,4.260458549516538e-14,4.841905811795458e-15,2.3444051890298632e-29,(5.071228450867135e-14+0j),4.084197904589544e-14,4.458454865852215e-14,5.5607315510329026e-15,3.0921735382652793e-29,(3.7782837125643736e-14+0j),calm
9.643684100048738e-14,1.1368185786189534e-13,3.7216551710873574e-14,1.385071721248127e-27,(3.4710757228893274e-14+0j),1.1095664045198824e-13,1.0770244450912078e-13,2.7668011722993953e-14,7.655188727037308e-28,(8.195737182796052e-14+0j),8.23988735386318e-14,8.855345647704389e-14,2.5303943147147945e-14,6.402895387940955e-28,(8.645069113599338e-14+0j),6.122308754028279e-14,6.716323013602339e-14,1.716920284882899e-14,2.9478152646423753e-28,(2.4337286238567125e-14+0j),1.7902262364592304e-14,1.2934406610746823e-14,9.00206327720056e-15,8.103714324672288e-29,(1.3272985187881705e-14+0j),calm
4.6528617371323285e-14,3.8325603377000504e-14,2.239932203338021e-14,5.017296275550722e-28,(3.740906450452249e-14+0j),5.3018988798007467e-14,4.305826139762919e-14,2.6828249055446456e-14,7.197549473810636e-28,(1.0556432215961299e-13+0j),4.927305893561429e-14,3.866214085884658e-14,3.121268918002021e-14,9.74231965848551e-28,(1.1264128170822059e-13+0j),2.007911414124845e-14,1.8146598937474926e-14,4.4958259205904705e-15,2.0212450708253155e-29,(3.032508528819696e-14+0j),1.5479806355103068e-14,1.5468664620554443e-14,2.8892467413607665e-15,8.347746732463807e-30,(1.4983368266333612e-14+0j),calm
3.612664197078335e-14,2.9953390827479676e-14,1.0104567775382174e-14,1.0210228992729186e-28,(4.464730023131529e-14+0j),4.833011752850683e-14,4.076522954510633e-14,2.6717021580352594e-14,7.137992421250262e-28,(4.076522954510633e-14+0j),4.4469509440955555e-14,3.1685101902558147e-14,3.309390684273623e-14,1.0952066701157037e-27,(1.4391174317245048e-14+0j),3.143877077988422e-14,3.032508528819696e-14,5.902328766653037e-15,3.4837484869659956e-29,(3.813742109882825e-14+0j),1.6041716289821596e-14,1.5824254256336176e-14,5.8207313394819195e-15,3.3880913326426983e-29,(2.7040515323681582e-14+0j),calm
