theta_mean,theta_median,theta_std,theta_var,theta_fft,alpha_low_mean,alpha_low_median,alpha_low_std,alpha_low_var,alpha_low_fft,alpha_high_mean,alpha_high_median,alpha_high_std,alpha_high_var,alpha_high_fft,beta_mean,beta_median,beta_std,beta_var,beta_fft,gamma_mean,gamma_median,gamma_std,gamma_var,gamma_fft,state

2.5462009046763918e-14,2.0880757343329354e-14,1.086102727322662e-14,1.1796191342977247e-28,(3.21090265032406e-14+0j),1.9529620794195895e-14,9.64743948776068e-15,1.6257021435382723e-14,2.642907459504933e-28,(1.0933947583174393e-14+0j),8.494428048275432e-15,8.159682870175626e-15,2.599551159058264e-15,6.757666228561165e-30,(5.6458831060846455e-15+0j),6.958840611494796e-15,5.73591607826531e-15,3.1138731562218356e-15,9.696206033038936e-30,(5.73591607826531e-15+0j),4.545949275580095e-15,4.888877770007327e-15,1.703130862980952e-15,2.9006547364382423e-30,(2.8705599392365923e-15+0j),frustrated
5.181580256192874e-14,5.371551995000507e-14,1.685762164419523e-14,2.841794074988395e-28,(2.4979086791521435e-14+0j),3.1391425092808124e-14,2.7459502814164674e-14,1.7779961624986294e-14,3.161270353859852e-28,(2.7459502814164674e-14+0j),2.5497922180540834e-14,2.3087477116079837e-14,3.4651040225213536e-15,1.2006945886893666e-29,(2.3087477116079837e-14+0j),2.5678906172017863e-14,2.5590553858475712e-14,1.0212636081977726e-14,1.0429793574291336e-28,(3.9657574988438946e-14+0j),4.938037303898472e-15,5.20336621819584e-15,1.3588920598930158e-15,1.8465876304402836e-30,(6.325829230634304e-15+0j),calm
3.7089161701475674e-14,3.68483733251677e-14,2.206257446571854e-14,4.867571920553758e-28,(1.286527913989518e-14+0j),3.708429621786486e-14,3.333597705842629e-14,1.2786907681179677e-14,1.635050080470118e-28,(3.018270176891309e-14+0j),2.9011865406727954e-14,2.6546337569604755e-14,5.3228123772037245e-15,2.833233160291316e-29,(2.5249954720598037e-14+0j),5.265953727979415e-14,5.523713027441268e-14,1.2235607945383926e-14,1.4971010179314223e-28,(4.252257986796964e-14+0j),6.873777823802962e-14,5.846028810898609e-14,3.1810326937541916e-14,1.011896899873305e-27,(4.316582032121609e-14+0j),frustrated
8.449924380196075e-14,7.688774624238938e-14,4.8619998264492653e-14,2.3639042312392686e-27,(1.1335228729156964e-13+0j),5.009691104787693e-14,5.011574090537901e-14,2.3814911801218677e-14,5.671500240998247e-28,(9.568466110611579e-14+0j),2.786988602152967e-14,2.7224857239744992e-14,5.03853968208519e-15,2.5386882127947126e-29,(3.2470216543984544e-14+0j),1.8694369019505958e-14,1.7630645920227732e-14,6.797328579305859e-15,4.620367581504821e-29,(3.3293277361567624e-14+0j),8.053202503958238e-15,8.556128542362282e-15,3.1617438929050963e-15,9.996624444322672e-30,(1.0985861401022682e-14+0j),frustrated

1.0200802533948576e-14,1.0691711974619057e-14,5.845521173051454e-15,3.4170117784592845e-29,(8.711729649523276e-15+0j),8.372235282001149e-15,7.006074438011218e-15,7.452167069017954e-15,5.553479402455564e-29,(6.971168251014044e-15+0j),9.483208546712937e-15,5.2203287548855264e-15,7.358635835147809e-15,5.414952135432148e-29,(1.3472541721308821e-14+0j),5.606335084594364e-15,4.703788783638438e-15,2.517540744740084e-15,6.338011401426456e-30,(1.2719391592687755e-14+0j),3.125583573730886e-15,2.6114754926032812e-15,1.401836989089471e-15,1.9651469439794334e-30,(3.5444540111014237e-15+0j),bored



