theta_mean,theta_median,theta_std,theta_var,theta_fft,alpha_low_mean,alpha_low_median,alpha_low_std,alpha_low_var,alpha_low_fft,alpha_high_mean,alpha_high_median,alpha_high_std,alpha_high_var,alpha_high_fft,beta_mean,beta_median,beta_std,beta_var,beta_fft,gamma_mean,gamma_median,gamma_std,gamma_var,gamma_fft,state
4.98379310118517e-14,5.669019081474506e-14,2.1799655282889148e-14,4.752249704527967e-28,(1.629357859762331e-14+0j),5.732703937736063e-14,6.731894762604839e-14,2.063986891149043e-14,4.260041886835091e-28,(2.7661690108960804e-14+0j),4.587180041729554e-14,4.8599566856710464e-14,1.5817577681239827e-14,2.5019576370205633e-28,(2.3067693863161557e-14+0j),4.58109490154466e-14,5.1776552005426174e-14,1.3832518921974808e-14,1.9133857972679112e-28,(2.348743123761219e-14+0j),6.257478250688991e-14,6.508085278317281e-14,7.930649906411374e-15,6.289520793806274e-29,(4.3261971925024023e-14+0j),frustrated
1.1024854100902952e-13,4.003915846713606e-14,1.0883617572849485e-13,1.1845313147203811e-26,(2.2301412016515903e-14+0j),7.842330502349801e-14,5.824807436922546e-14,6.617893811497902e-14,4.379651850026222e-27,(1.6917419484945725e-14+0j),4.245289951589962e-14,4.2683652497278584e-14,1.9944306735224163e-14,3.977753711487079e-28,(1.658606320886059e-14+0j),8.247916753827641e-14,9.291965644488829e-14,3.6004850222045944e-14,1.2963492395119619e-27,(9.291965644488829e-14+0j),8.278524898465097e-14,8.254008837668608e-14,4.091739699003261e-14,1.6742333764399295e-27,(1.1749245705593483e-13+0j),frustrated
1.2570943553812964e-13,5.679507623646354e-14,9.372291626338002e-14,8.783985032912541e-27,(1.6001740708302437e-13+0j),5.609998850403403e-14,4.3840469998588264e-14,4.109729162159163e-14,1.6889873786301458e-27,(1.4396373200907565e-13+0j),3.6609977120930647e-14,2.028697707141672e-14,3.234063660625056e-14,1.0459167760975535e-27,(1.0397743388329214e-13+0j),4.853896296304307e-14,3.197174506407045e-14,2.5722863058615157e-14,6.6166568393226825e-28,(5.226077311186853e-14+0j),4.987116952281053e-14,5.384292762888717e-14,1.4567613404901766e-14,2.122153603146736e-28,(2.298588492085185e-14+0j),frustrated
4.941190263990501e-13,2.5862030791385e-13,4.483826145305594e-13,2.0104696901326021e-25,(8.33900941112947e-14+0j),1.8063518960496486e-13,1.4396373200907565e-13,9.0924113876464e-14,8.267194484220193e-27,(7.832689052080349e-14+0j),9.569099169358067e-14,8.086534286147702e-14,4.298499111915504e-14,1.847709461513838e-27,(3.5394164570192754e-14+0j),8.975515587845844e-14,7.95483502308856e-14,1.9139115100586587e-14,3.6630572683350147e-28,(7.609721929523573e-14+0j),3.77848819062747e-14,2.8105513431718882e-14,2.149284344864498e-14,4.6194231950796135e-28,(7.583479435651816e-14+0j),frustrated
6.768039146500848e-14,7.925022721974458e-14,2.410114041449604e-14,5.808649692792545e-28,(7.047362694495302e-14+0j),6.398304774623059e-14,6.226503540294481e-14,2.1558727071726434e-14,4.647787129531902e-28,(7.013596554915336e-14+0j),5.040390305348775e-14,3.588567228008248e-14,2.313958262138074e-14,5.354402838917055e-28,(6.14426606109579e-14+0j),5.938158213409237e-14,4.396165013897838e-14,2.651546541328844e-14,7.030699060832955e-28,(1.130954633938213e-13+0j),3.760206713118607e-14,4.337254235106456e-14,7.860007824926188e-15,6.17797230079009e-29,(4.430997768673127e-14+0j),frustrated
7.326466353596191e-14,7.148906315660828e-14,2.7621638121215936e-14,7.629548924994095e-28,(1.367909744988686e-13+0j),6.313827163286201e-14,6.079603159974871e-14,7.346243217131793e-15,5.396728940525487e-29,(6.311898347143714e-14+0j),5.4276687279771306e-14,6.14426606109579e-14,2.018558158282444e-14,4.074577038368612e-28,(3.061300033648899e-14+0j),1.5117787237052264e-13,1.0307503319333318e-13,1.048868896651949e-13,1.1001259623638768e-26,(3.3829014732493834e-13+0j),1.0286590147797568e-13,1.1027022067523282e-13,1.9250834695282335e-14,3.7059463646508607e-28,(1.1304001640006528e-13+0j),frustrated
7.607706792614648e-14,5.988455199180291e-14,4.077676210495871e-14,1.6627443277643962e-27,(5.988455199180291e-14+0j),5.388416601896916e-14,4.7392415325178526e-14,4.0591726342407574e-14,1.647688247456905e-27,(1.4930453743434052e-13+0j),7.245043787771619e-14,3.7240791623430264e-14,6.261853689731098e-14,3.921081163159896e-27,(1.7712648851791005e-13+0j),1.043027921492809e-13,7.63697867498692e-14,6.443984048815919e-14,4.1524930421394e-27,(6.312786194488646e-14+0j),8.6818985864274e-14,7.926241072626923e-14,2.831759274617013e-14,8.018860589379471e-28,(5.432371519327133e-14+0j),frustrated
5.711898273363622e-14,5.5926990749485885e-14,2.305214856300333e-14,5.314015533707765e-28,(6.11264115363834e-14+0j),9.653473675957314e-14,1.0274071446332068e-13,3.296852050576025e-14,1.0869233443387341e-27,(2.4390849755794017e-14+0j),7.726116334648226e-14,6.42013730395844e-14,3.8110255870048235e-14,1.452391602480546e-27,(2.194737680721682e-14+0j),8.134016345868142e-14,6.312786194488646e-14,4.042762180767492e-14,1.6343926050243926e-27,(1.0054364182832523e-13+0j),5.149299918974705e-14,5.041354226308416e-14,1.2340027875432567e-14,1.5227628796645279e-28,(6.9798779981085e-14+0j),frustrated
1.6444421282402669e-13,7.780062826997517e-14,1.2037154197068677e-13,1.4489308116400806e-26,(2.0475477652796152e-13+0j),1.0982792367010658e-13,7.113178907098326e-14,8.394012482417264e-14,7.045944555497684e-27,(3.1775113683696855e-14+0j),7.851096348277798e-14,9.268808168296112e-14,3.898584997727193e-14,1.5198964984503537e-27,(2.4310225267929746e-14+0j),7.897157178222121e-14,5.920984917267495e-14,4.012319288277812e-14,1.6098706071086167e-27,(5.746511194211614e-14+0j),6.556385096818063e-14,5.715820930192691e-14,2.0630013891314285e-14,4.255974731558204e-28,(5.0612926534055515e-14+0j),frustrated
9.522790279319563e-14,6.117714130784918e-14,5.369704692387515e-14,2.8833728483448498e-27,(4.876790116249239e-14+0j),7.698937588716136e-14,6.728600461007218e-14,1.760703562701466e-14,3.100077035709635e-28,(5.918715925556833e-14+0j),5.829305506952873e-14,5.285691976289082e-14,1.3938983983829386e-14,1.9429527450145215e-28,(4.169668704273391e-14+0j),5.299978856474411e-14,4.821473583866327e-14,1.6220323093477488e-14,2.630988812567991e-28,(4.6264357895095624e-14+0j),6.245608650503716e-14,6.039893145061035e-14,1.0344798925951325e-14,1.0701486481836368e-28,(7.326306027041786e-14+0j),frustrated
9.93257377122213e-14,8.04734791360964e-14,7.014184319485378e-14,4.919878166771455e-27,(9.75451385383423e-14+0j),7.95309670251322e-14,8.501432893199505e-14,3.14743618014741e-14,9.906354508100917e-28,(9.201960974158611e-14+0j),3.927533010585866e-14,4.0293089655454666e-14,1.8265790792084613e-15,3.3363911326020296e-30,(4.0293089655454666e-14+0j),4.685897160678211e-14,5.0114036742554934e-14,1.7218372706409795e-14,2.9647235865683783e-28,(7.662908194842696e-14+0j),7.202425880559487e-14,6.960220302464359e-14,2.5271936677079562e-14,6.386707834103191e-28,(9.680207868203007e-14+0j),frustrated
5.45228236624951e-14,5.085617110653343e-14,2.0163366245803403e-14,4.06561338362404e-28,(4.029467044192675e-14+0j),4.339401595464719e-14,3.933188990653672e-14,1.599897248946621e-14,2.559671207186966e-28,(2.955087049490432e-14+0j),4.3981205509724e-14,4.2980103404447336e-14,1.1554555056685673e-14,1.3350774255798045e-28,(3.499854741610314e-14+0j),8.738784268071317e-14,9.741145341463628e-14,2.991703183414998e-14,8.950287937655433e-28,(2.7498314846084175e-14+0j),1.4715037747051886e-13,1.6951887018638828e-13,4.6710362307655086e-14,2.1818579469124052e-27,(2.044876048566059e-13+0j),frustrated
