theta_mean,theta_median,theta_std,theta_var,theta_fft,alpha_low_mean,alpha_low_median,alpha_low_std,alpha_low_var,alpha_low_fft,alpha_high_mean,alpha_high_median,alpha_high_std,alpha_high_var,alpha_high_fft,beta_mean,beta_median,beta_std,beta_var,beta_fft,gamma_mean,gamma_median,gamma_std,gamma_var,gamma_fft,state

4.5991759993682266e-14,4.0403642158104756e-14,1.3474784430795309e-14,1.8156981545640367e-28,(3.824858580379775e-14+0j),3.590780018733811e-14,3.247589699665846e-14,2.2229008873867962e-14,4.941288355145006e-28,(1.621753625343934e-14+0j),3.2090419754222596e-14,2.9812086903666645e-14,1.9233738044482844e-14,3.699366791637867e-28,(2.061379752342921e-14+0j),2.886232868637611e-14,2.5624726030242128e-14,1.2196332931134117e-14,1.4875053696706654e-28,(2.6620881844961525e-14+0j),1.0609525479258113e-14,1.1669521929107977e-14,2.6998151286389103e-15,7.289001728827535e-30,(1.0754602677982145e-14+0j),frustrated
3.0800744324288387e-13,3.816345292383786e-13,1.536259045771146e-13,2.360091855713672e-26,(8.365557899873317e-14+0j),1.1871496136200354e-13,1.4527429951257742e-13,7.253513156998885e-14,5.261345311875593e-27,(3.095551124202668e-14+0j),4.5425032976643166e-14,5.21341161780479e-14,1.6706627458127204e-14,2.7911140102464988e-28,(1.8817832197231626e-14+0j),3.10290249768705e-14,2.882267223292466e-14,1.5132845012565854e-14,2.2900299817433925e-28,(1.693874267542778e-14+0j),9.230642780490245e-15,9.376542961575435e-15,5.302874172935057e-16,2.8120474493981664e-31,(8.64624421021753e-15+0j),calm




1.233332606247565e-13,1.457773206199884e-14,1.8782355815078982e-13,3.5277688996423126e-26,(1.457773206199884e-14+0j),3.140772609195539e-14,1.7945289255611953e-14,3.3239523854559156e-14,1.1048659460778071e-27,(1.7945289255611953e-14+0j),2.3501803028875157e-14,1.0723161362969532e-14,2.856782509502611e-14,8.161206306600033e-28,(1.89113402359778e-14+0j),4.011810334666331e-14,4.5655064777859505e-14,3.007784758207927e-14,9.046769151707918e-28,(5.389289975273228e-14+0j),2.0340553964840346e-14,1.8802895671920425e-14,7.391286861774799e-15,5.463112147304476e-29,(3.305996217998319e-14+0j),calm


1.6421907937051804e-14,1.466337188959075e-14,6.792231556309959e-15,4.61344095145328e-29,(8.401504490119348e-15+0j),2.033880608095363e-14,1.5816131625456436e-14,1.1061516475960327e-14,1.2235714674794178e-28,(1.2657464638617364e-14+0j),2.7266140727098345e-14,2.5375950180135714e-14,8.104538139700164e-15,6.568353845785459e-29,(2.1383157269925923e-14+0j),5.184696638692138e-14,5.753374249105075e-14,1.8146289360435993e-14,3.292878175526725e-28,(7.115711389925071e-14+0j),6.917130990706162e-14,3.796899791197318e-14,5.303837040163538e-14,2.813068734861072e-27,(1.6088432591423268e-13+0j),frustrated
1.3911870714776602e-13,8.051836788995177e-14,1.2644970357610698e-13,1.5989527534485324e-26,(4.720311994606766e-13+0j),6.290669979310563e-14,4.145976164619024e-14,6.588544895044564e-14,4.340892383401779e-27,(2.476999718412708e-13+0j),2.3195923042287586e-14,1.2806432767437467e-14,2.239307761170282e-14,5.014499249237461e-28,(8.244672233767205e-14+0j),9.089092278093579e-15,7.52372966809398e-15,4.841521705607932e-15,2.3440332425872738e-29,(1.711636330734581e-14+0j),4.197474661888189e-15,3.5108527292440004e-15,3.001145971612187e-15,9.006877142924057e-30,(9.669683300995904e-15+0j),calm



1.5800799401816706e-14,1.0281445931705213e-14,1.098143530296577e-14,1.205919213132229e-28,(1.1795340923623379e-14+0j),1.544053707453791e-14,1.3690827221456981e-14,1.0579202698501905e-14,1.1191952973598999e-28,(5.328072047675584e-15+0j),1.1285963949065133e-14,1.1727513797436722e-14,4.813758026025291e-15,2.3172266333122908e-29,(4.945601726556425e-15+0j),6.350467275685326e-15,6.947424626662391e-15,2.6577836443355445e-15,7.063813900097528e-30,(7.216330002032676e-15+0j),6.2472233966641825e-15,6.004145007674748e-15,2.092553955139162e-15,4.37878205516855e-30,(7.870961048501484e-15+0j),bored

1.3917746786280463e-14,1.5190457283532228e-14,5.780667029321551e-15,3.341611130388525e-29,(1.6844318974468996e-14+0j),1.1696328371958232e-14,8.61035043111065e-15,7.53621600608155e-15,5.679455169031975e-29,(7.210927671319698e-15+0j),1.1585402307723925e-14,9.593451412050034e-15,5.416828636865427e-15,2.934203248116536e-29,(1.856909777023003e-14+0j),1.0082254483842547e-14,9.369965966298974e-15,4.017124351451818e-15,1.613728805502719e-29,(1.466471973519504e-14+0j),7.330244270113994e-15,6.744050049004646e-15,3.1601465854716052e-15,9.986526441667845e-30,(4.260119366161212e-15+0j),bored

1.4657564702485127e-14,1.399476489108553e-14,1.0270294560519494e-14,1.054789503598363e-28,(9.24246660431665e-15+0j),1.8198915945724044e-14,1.7811599331051573e-14,8.994767432561138e-15,8.090584116586248e-29,(1.7811599331051573e-14+0j),1.1678682128846871e-14,1.0652853025955209e-14,3.406335297965502e-15,1.1603120162165728e-29,(1.1292264440358063e-14+0j),4.2419271142242056e-14,3.3420520501518326e-14,1.1536924834254089e-14,1.3310063463122876e-28,(3.3420520501518326e-14+0j),3.914912037902867e-14,3.6176782743714297e-14,5.222656266445078e-15,2.727613847743804e-29,(3.518998466718567e-14+0j),calm
1.3052066532380666e-14,1.282865659446874e-14,3.3148278891900105e-15,1.0988083934951902e-29,(2.0149104644292427e-14+0j),7.440758856806077e-15,5.710452968070539e-15,3.0409347393384595e-15,9.247284088915465e-30,(1.2616132827200457e-14+0j),7.644153993173044e-15,7.707079969400819e-15,3.618561599327056e-15,1.3093988048124382e-29,(7.707079969400819e-15+0j),1.630043447074931e-14,1.8752715133837247e-14,3.9741733366716395e-15,1.579405370991179e-29,(1.520292953481201e-14+0j),1.4602404592290032e-14,1.7227462173013326e-14,7.89162560920681e-15,6.227775475588877e-29,(1.978166025824425e-14+0j),calm
3.129974015460301e-14,2.269397231558724e-14,2.7031442092297756e-14,7.30698861589247e-28,(4.0911995442508653e-14+0j),3.3684815341926836e-14,2.3712035627367936e-14,2.1515335042214667e-14,4.629096419787504e-28,(2.2246117964905233e-14+0j),3.2531385973539905e-14,3.3853571512693573e-14,1.7022150991440636e-14,2.897536243754034e-28,(7.651966747577405e-15+0j),1.7473650696949436e-14,2.0243051823026014e-14,5.767856242354549e-15,3.3268165632468337e-29,(1.0266346471153007e-14+0j),1.697941926622397e-14,1.6998946907018824e-14,2.65511727664478e-15,7.049647752737592e-30,(1.9088435462700692e-14+0j),frustrated
7.57263136852582e-13,5.971139920340544e-13,6.413753201685894e-13,4.1136230132136055e-25,(1.2447904159357767e-13+0j),2.6507244448518146e-13,2.536728546481173e-13,2.3507168672482664e-13,5.525869789965504e-26,(7.06048435855091e-14+0j),1.1146550117460765e-13,5.169458032119977e-14,9.819942975414763e-14,9.643128004039774e-27,(4.478549618087056e-14+0j),5.958311797807463e-14,3.512941101678238e-14,5.614603271523744e-14,3.1523769896605126e-27,(4.9902613526415027e-14+0j),1.939239006783117e-14,1.0612428219185586e-14,1.4612665771058826e-14,2.1353000093667426e-28,(4.771269913445965e-14+0j),frustrated
